name,address,lat,long,description,State,Market City,Frequency,Format,Tower,Slogan,Avails,Spot Rate,Transmitter Location,unnamed (1),Location
WSKY-AM,"JC9H+H7W Woodfin, North Carolina",35.6189875,-82.5717969,"State: NC<br>Market City: Asheville<br>Frequency: 104.5 FM<br>1070 AM<br>Format: Religious<br>Tower: JC9H+H7W Woodfin, North Carolina<br>Slogan: ""Radio That Changes the Way You Live""<br>Avails: 6A-7P 2/HR.<br>Spot Rate: $30.00 ",<value>NC</value>,<value>Asheville</value>,"<value>104.5 FM
1070 AM</value>",<value>Religious</value>,"<value>JC9H+H7W Woodfin, North Carolina</value>","<value>""Radio That Changes the Way You Live""</value>",<value>6A-7P 2/HR.</value>,<value>$30.00 </value>,,,
WSSX,"Q5W5+8QP Mt Pleasant, South Carolina",32.7958375,-79.8405469,"State: SC<br>Market City: Charleston<br>Frequency: 95.1 FM<br>Format: Top 40<br>Tower: Q5W5+8QP Mt Pleasant, South Carolina<br>Slogan: ""95SX Hit Music Channel""<br>Avails: M - F<br>Spot Rate: 6a - 10a $45<br>10a - 3p $35<br>3p - 7p $45",<value>SC</value>,<value>Charleston</value>,<value>95.1 FM</value>,<value>Top 40</value>,"<value>Q5W5+8QP Mt Pleasant, South Carolina</value>","<value>""95SX Hit Music Channel""</value>",<value>M - F</value>,"<value>6a - 10a $45
10a - 3p $35
3p - 7p $45</value>",,,
WTAN-S,"X6F3+4C6 Clearwater, Florida",27.9727875,-82.7964844,"State: FL<br>Market City: Coachman, Clearwater<br>Frequency: 1340 AM/106.1 FM<br>Format: Oldies<br>Tower: X6F3+4C6 Clearwater, Florida<br>Slogan: ""Tan Talk""<br>Avails: 6A-7P 2/HR.<br>Spot Rate: $20.00 ",<value>FL</value>,"<value>Coachman, Clearwater</value>",<value>1340 AM/106.1 FM</value>,<value>Oldies</value>,"<value>X6F3+4C6 Clearwater, Florida</value>","<value>""Tan Talk""</value>",<value>6A-7P 2/HR.</value>,<value>$20.00 </value>,,,
WTHU (ROS!!!),"JHGW+RV9 Thurmont, Maryland",39.6270375,-77.4027656,"State: MD<br>Market City: Thurmont<br>Frequency: 1450<br>Format: Oldies<br>Tower: JHGW+RV9 Thurmont, Maryland<br>Slogan: ""Cool 1450""<br>Avails: ROS 6-10A, Noon-1, 3-7P<br>Spot Rate: $18.00 ",<value>MD</value>,<value>Thurmont</value>,<value>1450</value>,<value>Oldies</value>,"<value>JHGW+RV9 Thurmont, Maryland</value>","<value>""Cool 1450""</value>","<value>ROS 6-10A, Noon-1, 3-7P</value>",<value>$18.00 </value>,,,
WTMA,"RXFW+PXM West Ashley, Charleston, SC",32.8243375,-80.0025781,"State: SC<br>Market City: Charleston<br>Frequency: 1250 AM<br>Format: News/Talk<br>Tower: RXFW+PXM West Ashley, Charleston, SC<br>Slogan: ""News Talk 1250""<br>Avails: M - F<br>Spot Rate: 6a - 10a $20<br>10a - 3p $15<br>3p -7p $20",<value>SC</value>,<value>Charleston</value>,<value>1250 AM</value>,<value>News/Talk</value>,"<value>RXFW+PXM West Ashley, Charleston, SC</value>","<value>""News Talk 1250""</value>",<value>M - F</value>,"<value>6a - 10a $20
10a - 3p $15
3p -7p $20</value>",,,
WTTR (ROS!!!),"HXGH+W2C Westminster, Maryland",39.5773125,-77.0224844,"State: MD<br>Market City: Westminster<br>Frequency: 93.5 FM, 102.3 FM<br>1470 AM<br>Format: Classic Hits<br>Tower: HXGH+W2C Westminster, Maryland<br>Slogan: ""Greatest Hits of All Time""<br>Avails: ROS 6-10A, Noon-1, 3-7P<br>Spot Rate: $18.00 ",<value>MD</value>,<value>Westminster</value>,"<value>93.5 FM, 102.3 FM
1470 AM</value>",<value>Classic Hits</value>,"<value>HXGH+W2C Westminster, Maryland</value>","<value>""Greatest Hits of All Time""</value>","<value>ROS 6-10A, Noon-1, 3-7P</value>",<value>$18.00 </value>,,,
WTZQ,"8H78+WXJ Hendersonville, North Carolina",35.3148375,-82.4326094,"State: NC<br>Market City: Hendersonville<br>Frequency: 1600 AM<br>95.3 FM<br>Format: Nostalgia<br>Tower: 8H78+WXJ Hendersonville, North Carolina<br>Slogan: ""Your Q-munity Radio Station""<br>Avails: 6am - 7pm<br>Spot Rate: $11.00 ",<value>NC</value>,<value>Hendersonville</value>,"<value>1600 AM
95.3 FM</value>",<value>Nostalgia</value>,"<value>8H78+WXJ Hendersonville, North Carolina</value>","<value>""Your Q-munity Radio Station""</value>",<value>6am - 7pm</value>,<value>$11.00 </value>,,,
WVBH-LPFM,"4H55+M87 Benton Harbor, Michigan",42.1091625,-86.4417031,"State: MI<br>Market City: Benton Harbor<br>Frequency: 105.3 LPFM<br>Format: Hip Hop<br>Tower: 4H55+M87 Benton Harbor, Michigan<br>Slogan: ""Power 105.3""<br>Avails: 6A-7P<br>Spot Rate: $10 ",<value>MI</value>,<value>Benton Harbor</value>,<value>105.3 LPFM</value>,<value>Hip Hop</value>,"<value>4H55+M87 Benton Harbor, Michigan</value>","<value>""Power 105.3""</value>",<value>6A-7P</value>,<value>$10 </value>,,,
WVIB,"8R7W+H39 Muskegon Charter Township, Michigan",43.3139125,-86.1547656,"State: MI<br>Market City: Holton<br>Frequency: 100.1 FM<br>Format: Urban Contemporary<br>Tower: 8R7W+H39 Muskegon Charter Township, Michigan<br>Slogan: ""V100""<br>Avails: 6A-7P 2/HR.<br>Spot Rate: $12.00 ",<value>MI</value>,<value>Holton</value>,<value>100.1 FM</value>,<value>Urban Contemporary</value>,"<value>8R7W+H39 Muskegon Charter Township, Michigan</value>","<value>""V100""</value>",<value>6A-7P 2/HR.</value>,<value>$12.00 </value>,,,
WVTJ,"FQ35+3QH Brent, Florida",30.4526875,-87.2405156,"State: FL<br>Market City: Pensacola<br>Frequency: 105.3 FM<br>610 AM<br>Format: Gospel Music<br>Tower: FQ35+3QH Brent, Florida<br>Slogan: ""Radio That Changes the Way You Live""<br>Avails: 6A-7P 2/HR.<br>Spot Rate: $30.00 ",<value>FL</value>,<value>Pensacola</value>,"<value>105.3 FM
610 AM</value>",<value>Gospel Music</value>,"<value>FQ35+3QH Brent, Florida</value>","<value>""Radio That Changes the Way You Live""</value>",<value>6A-7P 2/HR.</value>,<value>$30.00 </value>,,,
WWBC,"963C+CCV Cocoa West, Florida",28.3536125,-80.7789531,"State: FL<br>Market City: Cocoa<br>Frequency: 94.7, 99.9, 100.7, 1510<br>Format: Religious<br>Tower: 963C+CCV Cocoa West, Florida<br>Slogan: ""Wonderful World of Brevard County""<br>Avails: 6A-7P<br>Spot Rate: $5/Spot; $200 increments",<value>FL</value>,<value>Cocoa</value>,"<value>94.7, 99.9, 100.7, 1510</value>",<value>Religious</value>,"<value>963C+CCV Cocoa West, Florida</value>","<value>""Wonderful World of Brevard County""</value>",<value>6A-7P</value>,<value>$5/Spot; $200 increments</value>,,,
WWNL,"J23Q+WX8 Hampton Township, Pennsylvania",40.6047875,-79.9600469,"State: PA<br>Market City: Pittsburgh<br>Frequency: 103.9 FM<br>1080 AM<br>Format: Religious<br>Tower: J23Q+WX8 Hampton Township, Pennsylvania<br>Slogan: ""Radio That Changes the Way You Live""<br>Avails: 6A-7P 2/HR.<br>Spot Rate: $30.00 ",<value>PA</value>,<value>Pittsburgh</value>,"<value>103.9 FM
1080 AM</value>",<value>Religious</value>,"<value>J23Q+WX8 Hampton Township, Pennsylvania</value>","<value>""Radio That Changes the Way You Live""</value>",<value>6A-7P 2/HR.</value>,<value>$30.00 </value>,,,
WWNN,"5QJH+7Q2 Tamarac, Florida",26.1806375,-80.2206094,"State: FL<br>Market City: Pompano Beach<br>Frequency: 1470 AM<br>95.3 FM<br>To be added 12/2: 96.9 FM, 103.9 FM<br>Format: Business News - hocus pocus radio<br>NO MORNING SPOT TIMES<br>Tower: 5QJH+7Q2 Tamarac, Florida<br>Slogan: ""Oldies 95.3 & 96.9""<br>Avails: Noon-7P<br>Spot Rate: $20.00 ",<value>FL</value>,<value>Pompano Beach</value>,"<value>1470 AM
95.3 FM
To be added 12/2: 96.9 FM, 103.9 FM</value>","<value>Business News - hocus pocus radio
NO MORNING SPOT TIMES</value>","<value>5QJH+7Q2 Tamarac, Florida</value>","<value>""Oldies 95.3 &amp; 96.9""</value>",<value>Noon-7P</value>,<value>$20.00 </value>,,,
WWSN,"835P+VXW Sheridan Charter Twp, Michigan",43.3097375,-85.9125469,"State: MI<br>Market City: Newaygo<br>Frequency: 92.5 FM<br>Format: Adult Contemporary<br>Tower: 835P+VXW Sheridan Charter Twp, Michigan<br>Slogan: ""Sunny 92.5""<br>Avails: 6A-10A<br>3P - 7P<br>All A or P<br>Spot Rate: $12.00 ",<value>MI</value>,<value>Newaygo</value>,<value>92.5 FM</value>,<value>Adult Contemporary</value>,"<value>835P+VXW Sheridan Charter Twp, Michigan</value>","<value>""Sunny 92.5""</value>","<value>6A-10A
3P - 7P
All A or P</value>",<value>$12.00 </value>,,,
WWSX (ROS!!!),"PVCH+H7V Aspen Meadows, Delaware",38.7214875,-75.1218281,"State: DE<br>Market City: Rehoboth<br>Frequency: 99.1 FM<br>Format: Variety<br>Tower: PVCH+H7V Aspen Meadows, Delaware<br>Slogan: ""Radio Rehoboth""<br>Avails: ROS 6-10A, Noon-1, 3-7P<br>Spot Rate: $18.00 ",<value>DE</value>,<value>Rehoboth</value>,<value>99.1 FM</value>,<value>Variety</value>,"<value>PVCH+H7V Aspen Meadows, Delaware</value>","<value>""Radio Rehoboth""</value>","<value>ROS 6-10A, Noon-1, 3-7P</value>",<value>$18.00 </value>,,,
WWWZ,"W34G+6PF Charleston, South Carolina",32.9055625,-79.9232031,"State: SC<br>Market City: Charleston<br>Frequency: 93.3 FM<br>Format: Hip Hop<br>Tower: W34G+6PF Charleston, South Carolina<br>Slogan: ""Z93 Jamz""<br>Avails: M - F<br>Spot Rate: 6a - 10a $55<br>10a - 3p $50<br>3p - 7p $55",<value>SC</value>,<value>Charleston</value>,<value>93.3 FM</value>,<value>Hip Hop</value>,"<value>W34G+6PF Charleston, South Carolina</value>","<value>""Z93 Jamz""</value>",<value>M - F</value>,"<value>6a - 10a $55
10a - 3p $50
3p - 7p $55</value>",,,
